Kontakt_Id;Kennzeichen;Datum_ez;Datum_hu;Km_stand;Letzter_besuch;Kontakt_Name
2007;P-SV 263;31.08.1998;01.08.2004;0;01.03.2003;Geerd Kowsky
2007;P-QI 70;04.12.1997;01.12.2000;64948;01.10.2000;Geerd Kowsky
2007;P-RI 213;17.09.2003;01.09.2006;0;01.08.2003;Geerd Kowsky
2007;P-DN 72;19.03.2001;01.03.2004;189834;01.06.2003;Geerd Kowsky
2007;P-JT 516;22.10.1998;01.10.2004;362438;01.10.2002;Geerd Kowsky
2007;P-WK 938;15.06.1998;01.06.2005;179687;01.03.2004;Geerd Kowsky
2007;P-DL 346;19.04.2000;01.04.2004;120100;01.05.2003;Geerd Kowsky
2007;P-GB 887;25.01.2000;01.01.2005;329159;01.10.2003;Geerd Kowsky
2007;P-BL 845;10.08.1999;01.09.2005;189839;01.10.2004;Geerd Kowsky
2007;P-DJ 977;16.02.1999;01.02.2003;185897;01.01.2003;Geerd Kowsky
2007;P-LH 295;19.03.2001;;0;01.03.2001;Geerd Kowsky
2007;P-JH 314;17.09.2003;01.09.2006;0;01.09.2003;Geerd Kowsky
2007;P-LQ 308;27.03.2001;01.03.2006;150106;01.10.2004;Geerd Kowsky
2007;P-TT 957;05.10.1998;01.10.2004;313621;01.11.2002;Geerd Kowsky
2007;P-UW 355;29.05.1998;01.06.2005;311009;01.06.2003;Geerd Kowsky
2007;P-LT 52;08.05.2000;01.05.2003;91609;01.09.2001;Geerd Kowsky
2007;P-CJ 197;15.12.2000;01.01.2005;105125;01.08.2004;Geerd Kowsky
2007;P-UO 854;22.06.1999;01.06.2005;165045;01.08.2004;Geerd Kowsky
2007;P-JO 203;15.01.2001;01.01.2003;245791;01.09.2002;Geerd Kowsky
2007;P-NT 230;27.04.2001;01.05.2004;0;01.05.2001;Geerd Kowsky
2007;P-ER 979;24.10.2003;01.10.2006;60368;01.10.2004;Geerd Kowsky
2007;P-CO 181;27.04.2001;01.04.2004;144475;01.01.2003;Geerd Kowsky
2007;P-GK 539;06.10.1998;01.01.2004;259217;01.06.2003;Geerd Kowsky
2007;P-VV 321;30.06.1998;01.06.2003;255722;01.10.2002;Geerd Kowsky
2007;P-NY 974;07.12.1999;01.12.2004;99806;01.05.2003;Geerd Kowsky
2007;P-FY 338;30.01.2001;01.01.2006;133429;01.09.2004;Geerd Kowsky
2007;P-BL 853;30.07.1999;01.07.2003;77521;01.07.2002;Geerd Kowsky
2007;P-UO 691;27.06.2001;01.07.2005;149291;01.11.2003;Geerd Kowsky
2007;P-SY 506;05.09.2001;01.09.2004;147191;01.12.2003;Geerd Kowsky
2007;P-JP 249;24.10.2003;01.10.2006;37065;01.09.2004;Geerd Kowsky
2007;P-EM 463;03.09.2001;01.08.2005;89909;01.02.2004;Geerd Kowsky
2007;P-KJ 512;16.02.1999;01.02.2004;344739;01.04.2003;Geerd Kowsky
2007;P-NB 673;25.08.1998;01.08.2001;254803;01.03.2001;Geerd Kowsky
2007;P-MN 590;31.08.1999;01.09.2004;243220;01.11.2002;Geerd Kowsky
2007;P-SG 665;20.03.2001;01.03.2005;90675;01.06.2004;Geerd Kowsky
2007;P-LB 319;29.09.1995;01.09.2000;334152;01.02.2000;Geerd Kowsky
2007;P-TA 378;27.12.2001;01.01.2004;57264;01.05.2002;Geerd Kowsky
2007;P-WC 544;24.03.1997;01.03.2002;234078;01.12.2000;Geerd Kowsky
2007;P-PB 932;24.10.2003;01.10.2006;20304;01.03.2004;Geerd Kowsky
2007;P-XY 932;10.12.2001;01.12.2004;60021;01.07.2004;Geerd Kowsky
2007;P-NU 377;16.02.1999;01.02.2005;410536;01.03.2003;Geerd Kowsky
2007;P-SK 443;25.08.1998;01.08.2005;371940;01.01.2003;Geerd Kowsky
2007;P-RL 109;25.10.1999;01.10.2006;185456;01.10.2004;Geerd Kowsky
2007;P-PA 673;26.06.2001;01.06.2005;133013;01.09.2004;Geerd Kowsky
2007;P-UH 883;10.10.1994;01.10.2002;257242;01.01.2001;Geerd Kowsky
2007;P-TK 998;29.08.2002;01.09.2006;68883;01.09.2004;Geerd Kowsky
2007;P-HN 985;30.03.1999;01.03.2006;184606;01.03.2004;Geerd Kowsky
2007;P-LR 731;24.10.2003;01.10.2006;0;01.10.2003;Geerd Kowsky
2007;B-AW 401;27.03.2002;01.03.2005;0;01.03.2002;Geerd Kowsky
2007;B-OM 756;11.11.1999;01.11.2005;127321;01.09.2004;Geerd Kowsky
2007;P-JS 937;11.01.1999;01.01.2005;225475;01.05.2003;Geerd Kowsky
2007;P-IP 772;21.12.1999;01.12.2004;176330;01.10.2004;Geerd Kowsky
2007;P-AQ 548;18.07.2001;01.07.2003;73492;01.08.2002;Geerd Kowsky
2007;P-IE 666;30.03.1999;01.03.2002;89167;01.03.2001;Geerd Kowsky
2007;P-PV 813;14.05.1996;01.05.2001;319494;01.02.2000;Geerd Kowsky
2007;P-XW 774;12.08.2003;01.08.2006;30469;01.10.2003;Geerd Kowsky
2007;P-MI 7;24.07.2003;01.07.2006;44597;01.08.2004;Geerd Kowsky
2007;P-IC 743;18.10.2002;01.10.2005;12914;01.10.2004;Geerd Kowsky
2007;P-RS 647;30.10.1998;01.11.2005;103251;01.03.2004;Geerd Kowsky
2007;P-YS 731;28.02.2000;01.03.2005;120065;01.12.2003;Geerd Kowsky
2007;P-KA 316;12.08.2003;01.08.2006;33318;01.08.2004;Geerd Kowsky
2007;P-CI 696;23.11.1999;01.11.2002;29452;01.10.2000;Geerd Kowsky
2007;P-DU 702;27.11.1996;01.11.2001;229408;01.07.2000;Geerd Kowsky
2007;P-LI 406;30.03.1999;01.03.2004;254088;01.09.2003;Geerd Kowsky
2007;P-KB 999;17.03.2004;01.03.2007;7120;01.06.2004;Geerd Kowsky
2007;P-YV 907;16.05.2003;01.05.2006;0;01.05.2003;Geerd Kowsky
2007;P-MO 991;11.01.1999;01.01.2004;295150;01.02.2002;Geerd Kowsky
2007;P-SO 519;28.03.2000;01.03.2005;145388;01.07.2003;Geerd Kowsky
2007;P-KR 640;14.05.1996;01.06.2004;250428;01.08.2002;Geerd Kowsky
2007;P-SO 591;29.06.2004;01.06.2007;0;01.08.2004;Geerd Kowsky
2007;P-YG 73;26.02.1997;01.02.2002;160482;01.03.2000;Geerd Kowsky
2007;P-VR 743;11.03.1997;01.03.2003;293411;01.03.2001;Geerd Kowsky
2007;P-RR 337;20.04.2004;01.04.2007;9486;01.11.2004;Geerd Kowsky
2007;P-TT 54;14.11.2003;01.11.2006;29497;01.07.2004;Geerd Kowsky
2007;P-LW 189;09.03.1999;01.03.2004;285984;01.04.2003;Geerd Kowsky
2007;P-JT 913;16.02.1996;01.02.2000;213275;01.02.2000;Geerd Kowsky
2007;P-FS 524;27.03.2000;01.03.2005;64899;01.03.2003;Geerd Kowsky
2007;P-YI 767;18.10.2002;01.10.2005;136658;01.11.2004;Geerd Kowsky
2007;P-QY 108;26.06.1997;01.06.2002;261691;01.09.2000;Geerd Kowsky
2007;P-OV 25;23.09.1997;01.09.2005;192006;01.03.2004;Geerd Kowsky
2007;P-VM 227;28.05.1998;01.05.2003;267439;01.09.2002;Geerd Kowsky
2007;P-AS 184;30.03.1999;01.03.2006;179161;01.10.2004;Geerd Kowsky
2007;P-DP 120;22.12.1999;01.11.2003;269190;01.05.2003;Geerd Kowsky
2007;P-IY 868;01.04.1997;01.05.2005;276179;01.12.2003;Geerd Kowsky
2007;P-UP 704;28.11.1996;01.11.2001;254991;01.09.2000;Geerd Kowsky
2007;P-TE 545;29.08.2002;01.09.2005;141236;01.07.2004;Geerd Kowsky
2007;P-RY 7;26.06.1997;01.06.2002;188017;01.06.2000;Geerd Kowsky
2007;P-LD 142;10.12.1997;01.11.2001;331982;01.03.2001;Geerd Kowsky
2007;P-GL 718;08.04.1998;01.04.2003;202353;01.04.2001;Geerd Kowsky
2007;P-DL -CW 36;30.04.1999;01.05.2004;272171;01.06.2002;Geerd Kowsky
2007;P-MA 505;22.12.1999;01.12.2005;391531;01.06.2004;Geerd Kowsky
2007;P-SF 995;10.11.1997;01.11.2005;77827;01.06.2004;Geerd Kowsky
2007;P-MY 42;25.10.2000;01.10.2003;73621;01.06.2003;Geerd Kowsky
2007;P-OB 447;20.12.1996;01.12.2001;299842;01.03.2000;Geerd Kowsky
2007;MOL-OO 313;31.07.2003;;0;01.07.2003;Geerd Kowsky
2007;P-CC 554;03.12.1996;01.12.2001;318527;01.09.2000;Geerd Kowsky
2007;P-LQ 400;08.01.1998;01.01.2002;388674;01.03.2001;Geerd Kowsky
2011;PM-DE 366;15.06.1999;01.06.2005;197172;01.10.2004;Fa. Temur e.V.
2011;B-NX 624;28.02.2000;01.01.2003;6921;01.02.2002;Fa. Temur e.V.
2011;PM-FR 889;02.07.1998;01.07.2006;203810;01.11.2004;Fa. Temur e.V.
2011;PM-TR 891;30.01.2004;01.01.2006;6357;01.08.2004;Fa. Temur e.V.
2011;BAR-JH 520;19.06.1998;01.06.2004;143962;01.02.2003;Fa. Temur e.V.
2011;PM-IA 320;08.07.1998;01.07.2006;110050;01.08.2004;Fa. Temur e.V.
2011;P-IH 935;25.08.1999;01.08.2001;40500;01.10.2000;Fa. Temur e.V.
2011;P-MY 135;15.08.1996;01.10.2003;185210;01.11.2001;Fa. Temur e.V.
2011;HVL-VU 886;09.07.1998;01.07.2006;253491;01.10.2004;Fa. Temur e.V.
2011;OK-VB 754;21.04.1997;01.02.2005;132414;01.03.2004;Fa. Temur e.V.
2011;HVL-EC 883;16.06.1998;01.06.2004;114717;01.08.2003;Fa. Temur e.V.
2011;P-WP 925;13.07.1998;01.07.2001;97210;01.05.2001;Fa. Temur e.V.
2011;PM-PY 956;21.10.2003;01.10.2006;44910;01.08.2004;Fa. Temur e.V.
2011;PM-IE 6;27.09.1990;01.11.2005;104500;01.04.2004;Fa. Temur e.V.
2011;PM-SE 988;01.07.1998;01.07.2004;114180;01.05.2004;Fa. Temur e.V.
2011;PM-KR 495;05.08.2003;01.08.2006;37639;01.07.2004;Fa. Temur e.V.
2011;PM-QL 301;17.07.1998;01.07.2006;224409;01.10.2004;Fa. Temur e.V.
2011;PM-KI 417;17.07.1998;01.07.2006;222067;01.09.2004;Fa. Temur e.V.
2011;PM-NU 646;30.03.1995;01.05.2004;113690;01.09.2003;Fa. Temur e.V.
2011;PM-UR 856;22.12.1998;01.12.2003;149521;01.10.2003;Fa. Temur e.V.
2011;PM-MT 410;08.07.1998;01.06.2006;123400;01.10.2004;Fa. Temur e.V.
2011;PM-OB 629;09.09.2003;01.09.2006;48078;01.10.2004;Fa. Temur e.V.
2011;P-KY 971;08.07.1998;01.07.2002;62310;01.06.2001;Fa. Temur e.V.
2011;PM-AE 951;13.07.1998;01.07.2006;233512;01.09.2004;Fa. Temur e.V.
2011;PM-RH 676;24.11.2003;01.11.2006;45120;01.11.2004;Fa. Temur e.V.
2011;P-QF 435;21.04.1999;01.04.2004;88400;01.06.2002;Fa. Temur e.V.
2011;HVL-HU 658;08.07.1999;01.07.2005;145177;01.08.2004;Fa. Temur e.V.
2011;OK-LM 496;11.08.1998;01.08.2005;97671;01.08.2004;Fa. Temur e.V.
2011;PM-PO 583;31.07.1998;01.07.2006;259000;01.10.2004;Fa. Temur e.V.
2011;PM-PV 472;20.07.1998;01.07.2006;130005;01.10.2004;Fa. Temur e.V.
2011;PM-KC 887;17.07.2000;01.07.2003;137410;01.07.2003;Fa. Temur e.V.
2011;PM-WV 206;13.07.1998;01.06.2005;175785;01.06.2003;Fa. Temur e.V.
2011;B-RL 344;08.03.2000;01.02.2005;49150;01.10.2003;Fa. Temur e.V.
2011;PM-RR 961;08.07.1998;01.07.2006;192321;01.09.2004;Fa. Temur e.V.
2011;PM-KP 554;20.07.1998;01.07.2006;121046;01.09.2004;Fa. Temur e.V.
2011;P-TM 840;31.07.1998;01.07.2001;62000;01.04.2000;Fa. Temur e.V.
2011;PM-WO 411;15.07.1998;01.08.2003;176321;01.08.2003;Fa. Temur e.V.
2011;HVL-KH 851;19.06.1998;01.06.2006;175452;01.11.2004;Fa. Temur e.V.
2011;PM-BD 598;13.07.1998;01.07.2006;155454;01.11.2004;Fa. Temur e.V.
2011;HVL-FA 853;08.08.1998;01.08.2006;240702;01.10.2004;Fa. Temur e.V.
2011;PM-VJ 946;05.06.2002;01.06.2005;34607;01.02.2004;Fa. Temur e.V.
2011;PM-EN 603;05.09.2003;01.09.2006;27171;01.06.2004;Fa. Temur e.V.
2011;HVL-XP 374;16.06.1998;01.06.2004;87809;01.02.2004;Fa. Temur e.V.
2011;PM-EW 200;30.07.1998;01.07.2006;163100;01.11.2004;Fa. Temur e.V.
2011;PM-UT 74;31.07.1998;01.07.2004;204406;01.07.2004;Fa. Temur e.V.
2011;PM-HB 461;30.09.2003;01.09.2006;25229;01.08.2004;Fa. Temur e.V.
2011;HVL-DV 698;02.07.1998;01.06.2006;109411;01.08.2004;Fa. Temur e.V.
2011;HVL-EC 980;16.06.1998;01.06.2004;90725;01.08.2002;Fa. Temur e.V.
2011;PM-RU 206;10.07.1998;01.07.2006;217980;01.11.2004;Fa. Temur e.V.
2011;PM-FU 482;30.07.1998;01.07.2006;166254;01.10.2004;Fa. Temur e.V.
2011;PM-OJ 480;20.07.1998;01.11.2006;210000;01.11.2004;Fa. Temur e.V.
2011;PM-VN 863;03.07.1998;01.07.2006;122808;01.10.2004;Fa. Temur e.V.
2011;BAR-UN 754;19.06.1998;01.06.2004;163405;01.02.2003;Fa. Temur e.V.
2011;PM-WY 155;13.07.1998;01.07.2006;200145;01.11.2004;Fa. Temur e.V.
2011;PM-GD 773;03.08.1998;01.07.2004;194711;01.02.2004;Fa. Temur e.V.
2011;PM-WS 956;11.09.1998;01.09.2003;166394;01.07.2003;Fa. Temur e.V.
2011;PM-QK 167;01.07.1998;01.07.2004;116560;01.06.2004;Fa. Temur e.V.
2011;HVL-GM 409;19.06.1998;01.06.2004;118009;01.03.2003;Fa. Temur e.V.
2011;PM-WP 817;08.07.1998;01.07.2004;141450;01.07.2004;Fa. Temur e.V.
2011;PM-UN 891;24.07.1998;01.08.2005;140725;01.09.2004;Fa. Temur e.V.
2011;PM-WB 768;23.09.1993;01.03.2004;0;01.12.2002;Fa. Temur e.V.
2011;PM-MK 121;17.09.1998;01.09.2003;134846;01.06.2003;Fa. Temur e.V.
2011;PM-JM 338;01.07.1998;01.07.2006;110576;01.08.2004;Fa. Temur e.V.
2011;HVL-LE 679;16.06.1998;01.05.2006;222921;01.10.2004;Fa. Temur e.V.
2011;PM-OT 644;17.07.1998;01.07.2006;129035;01.07.2004;Fa. Temur e.V.
2011;HVL-AS 538;01.02.1999;01.02.2002;63201;01.10.2000;Fa. Temur e.V.
2011;P-AR 153;10.06.1993;01.01.2002;0;01.01.2002;Fa. Temur e.V.
2011;PM-QS 474;01.07.1998;01.07.2003;128199;01.05.2003;Fa. Temur e.V.
2011;PM-EI 394;03.07.1998;01.07.2006;98070;01.07.2004;Fa. Temur e.V.
2011;BAR-WW 493;17.06.1998;01.06.2004;195188;01.02.2003;Fa. Temur e.V.
2011;PM-TT 236;13.07.1998;01.07.2006;138512;01.09.2004;Fa. Temur e.V.
2012;P-SA 516;16.08.2001;01.08.2006;55644;01.08.2004;Fa. Nikusch GmbH
2012;PM-RL 511;16.08.2001;;0;01.08.2001;Fa. Nikusch GmbH
2012;P-VH 420;05.05.1997;01.07.2003;175321;01.12.2002;Fa. Nikusch GmbH
2012;P-VG 822;11.12.1991;01.07.2000;369603;01.02.2000;Fa. Nikusch GmbH
2012;P-PS 916;08.07.2004;01.07.2007;1600;01.08.2004;Fa. Nikusch GmbH
2012;P-GQ 569;08.07.2004;01.07.2007;0;01.06.2004;Fa. Nikusch GmbH
2013;P-LC 625;15.07.1999;01.12.2004;103630;01.10.2004;Otthild Himer
2013;P-HT 54;20.10.1998;01.10.2004;137904;01.03.2003;Otthild Himer
2013;P-JV 530;19.01.2000;01.03.2006;215153;01.06.2004;Otthild Himer
2013;MOL-JB 494;24.10.1997;01.06.2003;22340;01.10.2000;Otthild Himer
2013;P-UW 545;08.06.2000;01.08.2004;149167;01.04.2003;Otthild Himer
2013;P-NI -DI 328;05.07.2000;01.07.2006;114636;01.11.2004;Otthild Himer
2013;P-MU 885;10.04.2000;01.04.2005;147997;01.11.2004;Otthild Himer
2013;B-BA -YI 803;25.10.1995;01.10.2001;89225;01.03.2000;Otthild Himer
2013;P-LH 545;27.09.1996;01.09.2004;178230;01.12.2002;Otthild Himer
2013;P-YS 18;05.11.1998;01.04.2003;162557;01.03.2003;Otthild Himer
2013;P-HQ 678;15.04.1997;01.06.2003;199008;01.12.2002;Otthild Himer
2013;D-AJ 67;16.06.2004;01.06.2007;0;01.08.2004;Otthild Himer
2013;P-JU 800;15.07.1999;01.07.2005;225100;01.02.2004;Otthild Himer
2013;P-CU 929;22.10.1998;01.10.2004;118483;01.11.2002;Otthild Himer
2013;P-KM 954;28.01.2000;01.02.2006;201421;01.03.2004;Otthild Himer
2013;P-UD 275;07.07.1998;01.07.2002;220725;01.05.2001;Otthild Himer
2013;P-RE 44;07.09.2000;01.09.2004;81471;01.03.2003;Otthild Himer
2013;P-TU 429;05.07.2000;01.01.2005;195539;01.11.2003;Otthild Himer
2013;P-NQ 140;23.06.2000;01.06.2006;164181;01.10.2004;Otthild Himer
2013;B-RV 514;;01.10.2001;105971;01.03.2000;Otthild Himer
2013;P-LT 473;14.01.1997;01.02.2004;325270;01.12.2002;Otthild Himer
2013;P-OJ 950;05.11.1998;01.04.2005;191151;01.07.2004;Otthild Himer
2013;P-RB 303;15.04.1997;01.07.2003;91678;01.11.2002;Otthild Himer
2013;D-OR 31;16.06.2004;01.06.2007;0;01.08.2004;Otthild Himer
2013;P-VR 479;15.07.1999;01.10.2005;164854;01.09.2004;Otthild Himer
2013;P-NK 24;16.10.1998;01.10.2004;377811;01.02.2003;Otthild Himer
2013;P-UN 412;14.02.2000;01.02.2006;114361;01.10.2004;Otthild Himer
2013;P-VQ 243;29.03.1999;01.03.2003;149050;01.05.2002;Otthild Himer
2013;P-GX 954;14.07.2000;01.09.2004;95407;01.01.2003;Otthild Himer
2013;P-TM 841;05.06.2000;01.07.2006;187057;01.10.2004;Otthild Himer
2013;P-RK 832;27.04.2000;01.06.2006;165056;01.10.2004;Otthild Himer
2013;P-NU 919;;01.10.2001;269301;01.03.2000;Otthild Himer
2013;P-RY 840;14.01.1997;01.03.2003;250074;01.10.2002;Otthild Himer
2013;P-UL 999;05.11.1998;01.04.2005;202299;01.10.2004;Otthild Himer
2013;P-QV 295;15.04.1997;01.07.2003;186990;01.01.2003;Otthild Himer
2013;D-RE 870;18.05.2004;01.05.2007;0;01.06.2004;Otthild Himer
2013;P-AB 988;15.07.1999;01.10.2005;149876;01.07.2004;Otthild Himer
2013;P-TC 656;30.03.1999;01.03.2003;302806;01.06.2002;Otthild Himer
2013;P-FW 673;26.01.2000;01.02.2004;196834;01.11.2003;Otthild Himer
2013;P-LM 307;09.07.1999;01.07.2002;137931;01.10.2000;Otthild Himer
2013;P-RK 615;16.06.2000;01.06.2004;179365;01.03.2003;Otthild Himer
2013;P-BW 886;24.01.2001;01.01.2005;113722;01.10.2004;Otthild Himer
2013;P-WU 314;23.06.2000;01.06.2006;120045;01.08.2004;Otthild Himer
2013;D-IJ 264;16.06.2004;01.06.2007;0;01.08.2004;Otthild Himer
2013;P-BQ 440;14.01.1997;01.09.2003;330008;01.03.2002;Otthild Himer
2013;P-RY 180;05.11.1998;01.04.2005;119486;01.06.2004;Otthild Himer
2013;P-RT 100;17.04.1997;01.12.2003;125100;01.11.2002;Otthild Himer
2013;PM-PQ 297;26.11.1997;01.11.2004;296202;01.08.2001;Otthild Himer
2013;P-DC 495;12.10.1999;01.11.2005;103744;01.08.2004;Otthild Himer
2013;P-FD 352;18.04.2000;01.04.2003;181487;01.11.2001;Otthild Himer
2013;P-YB 750;05.04.2000;01.04.2006;174771;01.10.2004;Otthild Himer
2013;B-YN 915;25.08.2000;01.01.2004;44197;01.05.2003;Otthild Himer
2013;P-HL 878;18.04.2000;01.06.2004;222097;01.02.2003;Otthild Himer
2013;P-WQ 702;23.06.2000;01.08.2006;198855;01.10.2004;Otthild Himer
2013;P-TB 505;02.05.2001;01.05.2005;104130;01.08.2004;Otthild Himer
2013;P-NJ 440;18.07.2001;01.07.2006;164255;01.10.2004;Otthild Himer
2013;P-OY 944;28.02.1997;01.05.2003;339463;01.01.2003;Otthild Himer
2013;P-SB 555;05.11.1998;01.02.2005;186369;01.08.2003;Otthild Himer
2013;P-AA 114;24.07.1997;01.10.2003;591588;01.12.2002;Otthild Himer
2013;D-JG 281;23.04.2005;01.04.2008;0;01.05.2004;Otthild Himer
2013;P-QC 284;06.10.1999;01.11.2005;168489;01.07.2004;Otthild Himer
2013;P-OW 883;25.01.2000;01.01.2003;31250;01.05.2000;Otthild Himer
2013;P-RL 117;10.05.1992;01.09.2002;332493;01.01.2002;Otthild Himer
2013;P-OE 194;10.02.2000;01.04.2004;199479;01.12.2003;Otthild Himer
2013;P-IK 116;27.04.2000;01.06.2004;195265;01.10.2002;Otthild Himer
2013;P-PL 625;08.09.1995;01.11.2003;459974;01.08.2002;Otthild Himer
2013;P-TP 190;10.06.2001;01.06.2005;119224;01.08.2004;Otthild Himer
2013;P-VH 829;29.05.1998;01.06.2005;299628;01.01.2004;Otthild Himer
2013;P-KO 693;14.01.1997;01.04.2003;159493;01.01.2003;Otthild Himer
2013;P-OO 502;05.11.1998;01.02.2005;131182;01.10.2004;Otthild Himer
2013;P-RF 566;30.04.1998;01.05.2004;141086;01.03.2003;Otthild Himer
2013;D-WH 453;18.05.2004;01.05.2007;0;01.06.2004;Otthild Himer
2013;P-KB 818;23.07.1999;01.09.2005;149379;01.11.2004;Otthild Himer
2013;P-XR 451;25.08.2000;01.08.2003;210495;01.05.2002;Otthild Himer
2013;P-JR 853;02.04.1993;01.03.2001;271974;01.08.2000;Otthild Himer
2013;B-XM 560;24.03.2000;01.03.2003;29183;01.12.2001;Otthild Himer
2013;P-XB 879;23.06.2000;01.06.2006;165033;01.11.2004;Otthild Himer
2013;P-WC 200;19.10.1995;01.11.2003;391801;01.08.2002;Otthild Himer
2013;P-OD 937;13.09.2001;01.09.2005;179742;01.10.2004;Otthild Himer
2013;P-TV 330;29.01.1998;01.01.2005;125750;01.11.2004;Otthild Himer
2013;P-PC 879;14.01.1997;01.03.2003;359983;01.04.2002;Otthild Himer
2013;P-OP 644;17.03.1999;01.03.2005;162945;01.05.2004;Otthild Himer
